DaftID,Url,Address,Property_Type,Price,Beds,Baths,Available_From,Furnished,Lease,Description,Date,Views
214808039,https://www.daft.ie/for-rent/house-type-c-st-edmunds-avenue-st-edmunds-avenue-lucan-co-dublin/4577971,"Type C , St Edmunds Avenue, St Edmunds Avenue , Lucan, Co. Dublin",House,"€3,000 per month",3 Bed,2 Bath,Immediately,Yes,Minimum 1 Year,"A new, purpose-built collection of rental apartments and duplex units, nestled in a tranquil spot of Lucan. Each apartment and duplex unit is fitted out to the highest possible standard with living and dining spaces that are comfortable and stylish, complementing the high-spec kitchen perfectly as an attractive gathering space.These properties are large, bright and airy - come tastefully furnished and fitted out to the highest specification.

Prices from €3000",22/06/2023,"16,869"
213704817,https://www.daft.ie/for-rent/house-large-3-bedroom-occu-adamstown-adamstown-adamstown-co-dublin/4256739,"Large 3 Bedroom, Occu Adamstown, Adamstown, Adamstown, Co. Dublin",House,"€2,900 per month",3 Bed,3 Bath,Immediately,Yes,Minimum 1 Year,"** NOW AVAILABLE LARGE 3 BEDROOM UNITS WITH TWO LIVING ROOMS**

Occu Adamstown
Please enquire now at www.occu.ie 

A small collection of spacious three bedroom fully furnished homes with beautiful gardens in West Dublin are now available for renting. Live in a growing new community and enjoy easy access to recreation, education, local amenities and excellent transport links to Dublin City Centre.

Our homes at Adamstown are built to the highest standards and finished in signature Occu style. Modern frontages give way to smart, welcoming interiors – with all the home comforts our residents require. Featuring private gardens, houses at Occu Adamstown provide plenty of space.

Adamstown is a flourishing new neighbourhood in County Dublin. From local schools to sports facilities and green space, it’s an idyllic base to make your home. Adamstown is a short drive from the conveniences of Lucan and Liffey Valley, and is just a 15 minute commute on the Kildare train Line from Dublin Heuston Station.

At Occu, we believe that renting should be better. That's why we're working hard to bring you the best: smarter, benefit focused and centred around the needs of our residents. No uncertainty, no hidden costs, stunning homes (and we'll let your pets move in too!).

Standard features of Occu Adamstown Houses include: large kitchens with dining area, spacious living rooms, master ensuite, patio and garden, plenty of storage areas, excellent energy efficiency and
 bathroom.

Occu Adamstown residents benefit from: 

First occupants of large fully furnished homes
Pet friendly
Dedicated Parking
Landscaped garden with patio maintained throughout the year by our Occu Services team
Speedy maintenance with online management app
Onsite parks and playgrounds
A2 BER Energy rating
Smoke and carbon monoxide alarms
Security alarms fitted
Wired for high-speed broadband and TV

* Please note, photos may not be specific to this house but all houses are finished to similar standard *

Occu PSRA License No: 004136",21/06/2023,"47,968"
212965083,https://www.daft.ie/for-rent/house-4-bedroom-house-castle-walk-castle-walk-cherrywood-co-dublin/4004276,"4 Bedroom House, Castle Walk, Castle Walk, Cherrywood, Co. Dublin",House,"€3,725 per month",4 Bed,2 Bath,Immediately,Yes,Minimum 1 Year,"**Located only a 5 minute walk from Laughanstown Luas Stop in Cherrywood**

This is a large light filled 4 bedroom house with its own garden and space for 2 cars to park. 

The main hallway leads to a bright kitchen and dining area with doors to the back garden. 

The kitchens are German-made, contemporary in design and are supplied and fitted by Kube Kitchens.  They are elegantly finished with quartz work surfaces sitting atop sleekly built-in appliances including integrated NEFF fridge-freezer, oven, dishwasher, microwave, induction hob and Zanussi combo washer/dryer (will also include washer AND dryer in the large units).  

This kitchen area opens out to a large dining area, perfect for parties or as an intimate setting.  
There is a dedicated utility room for added storage and the ground floor is completed by a separate, very spacious and cosy sitting room and a downstairs bathroom.  

Upstairs, the bedrooms are again large and flooded with natural light.  At night, they can become cosy, low-lit sanctuaries of quiet.  The principal bedroom includes an en-suite bathroom, equipped with a large shower and heated towel-rails.  The main upstairs bathroom is finished with stylish contemporary sanitary ware. 

Viewing is highly recommended. 

Cherrywood is located in south county Dublin, positioned to enjoy superb connection to the rest of the city and beyond via the LUAS Green Line, the M50 and the N11.  Cherrywood is also a mere fifteen minutes from the wilds of both the coast and the Dublin mountains, which provide stunning views and a true sense of calm; meanwhile, the bustling city is only 30 minutes away by LUAS. The houses are withing walking distance of The Cherrywood LUAS stop connecting you to the rest of Dublin in minutes. 

The homes at Cherrywood are and are ready to move into now. Designed for the rental market and situated in a thriving area, these are very generously sized, 4-bedroom houses with ample parking.  The surrounding amenities include shops, cafes, restaurants and supermarkets and a variety of schools, parks and sports facilities.

** Please note there are multiple property types available in this development.
The rent advertised on the individual property ads represent the starting rent for these property types.
Rents will vary throughout the development depending on the specific property type. Not all the available properties and rents listed here; please use those available at viewings.",20/06/2023,"15,994"
215087104,https://www.daft.ie/for-rent/house-3-bedroom-house-st-brigids-road-killester-dublin-5/4608336,"3 Bedroom House, St. Brigid's Road, Killester, Dublin 5",House,"€3,750 per month",3 Bed,3 Bath,Immediately,Yes,Minimum 1 Year,"Set in the established neighbourhood of Killester, right next to Clontarf, Occu Brookwood is a collection of excellently finished 3 bedroom homes, which sit within the grounds of our stunning refurbished and redeveloped period building. Enjoy spacious, bespoke houses with crafted interiors, landscaped surrounds and easy access to Dublin city centre, just a 5 minute walk to the nearest Dart station (Killiester)—a speedy 2 stops to the heart of the city (10-15 mins).

Each stylish new build houses have been finished to the highest standard. Enjoy bright open-plan living spaces, excellent finishes and considered design that will help you feel at home right away.


The location of Occu Brookwood is superb, nestled beside Killester Village offering a great selection of trendy bars and restaurants, convenience stores, as well as plenty of other activities and amenities close by for you to explore! Speaking of exploring, the Dart station at Killester is just a few minutes walk away which makes your morning commute easy peasy, and on days off, allows you to check out the whole Dublin coast line, from Malahide to Greystones. 

Standard features of Occu Brookwood apartments include:  

Kitchen and living Room

Purpose-designed kitchens with sleek solid Quartz worktops and great storage;
High-quality A-rated kitchen appliances including dishwasher, fridge/freezer and combi oven. Bespoke furniture package fitted out to a beautiful standard where you can relax and enjoy your surroundings;
Wired for TV, Cable and telephone data.",17/05/2023,"12,193"
212965084,https://www.daft.ie/for-rent/house-3-bedroom-house-castle-walk-castle-walk-cherrywood-co-dublin/4004277,"3 Bedroom House, Castle Walk, Castle Walk, Cherrywood, Co. Dublin",House,"€3,200 per month",3 Bed,2 Bath,Immediately,Yes,Minimum 1 Year,"**Located only a 5 minute walk from Laughanstown Luas Stop in Cherrywood**


This is a large light filled 3 bedroom house with its own garden and space for 2 cars to park. 

The main hallway leads to a bright kitchen and dining area with doors to the back garden. 

The kitchens are German-made, contemporary in design and are supplied and fitted by Kube Kitchens.  They are elegantly finished with quartz work surfaces sitting atop sleekly built-in appliances including integrated NEFF fridge-freezer, oven, dishwasher, microwave, induction hob and Zanussi combo washer/dryer (will also include washer AND dryer in the large units).
  
This kitchen area opens out to a large dining area, perfect for parties or as an intimate setting.  
There is a dedicated utility room for added storage and the ground floor is completed by a separate, very spacious and cosy sitting room and a downstairs bathroom.  

Upstairs, the bedrooms are again large and flooded with natural light.  At night, they can become cosy, low-lit sanctuaries of quiet.  The principal bedroom includes an en-suite bathroom, equipped with a large shower and heated towel-rails.  The main upstairs bathroom is finished with stylish contemporary sanitary ware. 

Viewing is highly recommended. 

Cherrywood is located in south county Dublin, positioned to enjoy superb connection to the rest of the city and beyond via the LUAS Green Line, the M50 and the N11.  Cherrywood is also a mere fifteen minutes from the wilds of both the coast and the Dublin mountains, which provide stunning views and a true sense of calm; meanwhile, the bustling city is only 30 minutes away by LUAS. The houses are withing walking distance of The Cherrywood LUAS stop connecting you to the rest of Dublin in minutes. 

The homes at Cherrywood are new builds and are ready to move into now. Designed for the rental market and situated in a thriving area, these are very generously sized, 3-bedroom houses with ample parking.  The surrounding amenities include shops, cafes, restaurants and supermarkets and a variety of schools, parks and sports facilities.

* Please note, photos may not be specific to this house but all houses are finished to similar standard **

** Please note there are multiple property types available in this development.
The rent advertised on the individual property ads represent the starting rent for these property types.
Rents will vary throughout the development depending on the specific property type. Not all the available properties and rents listed here; please use those available at viewings.",20/06/2023,"17,304"
214676889,https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-marietta-woods-castle-park-road-dalkey-co-dublin/4552257,"2 Bedroom Apartment , Marietta Woods, Castle Park Road, Dalkey, Co. Dublin",Apartment,"€2,675 per month",2 Bed,2 Bath,Immediately,Yes,Minimum 1 Year,"* 2 Bedroom Apartment * 

For more information please visit: www.mariettawoods.ie

The 2-bedroom apartments at Marietta Woods are light filled, extra large and benefit from double height ceilings.  

The entrance hallway opens on to timber flooring, which leads to a large and bright kitchen with loads of counter space and plenty of storage, with a hidden utility room and an extra storage closet. 

The kitchens boasts all integrated appliances with warm, subtle lighting and streamlined drawers and cabinets with stone work surfaces.  

A-rated appliances include Siemens oven and induction hob, fridge/freezer and dishwasher; as mentioned the washing machine is housed in an adjacent storage/utility room.  

The bedrooms make a prominent feature of the natural light spilling in by day through floor-to-ceiling windows.  Solid core timber doors further prevent inward sound leakage and there is ample shelving and hanging space in stylish, unimposing wardrobes.  The master bedroom includes an en-suite bathroom.  

The bathrooms are practical in layout and yet boast a highly sophisticated aesthetic.  The colour palette of soft browns contrast starkly with the eye-catching black counter-top, heated towel rail, shower heads and door frame, flush panel and tap.  Mirrors are fitted with de-misting heat pads, concealed to the rear.

The apartments in Marietta Woods are spacious and very thoughtfully designed and each one has been afforded individual consideration to achieve the perfect balance of practicality and style within the home.  

Marietta Woods is located in Dalkey, a coastal village, ten kilometres south of the city centre, which offers a unique mix of urban convenience and suburban amenity.  

Nestled among stunning mature woodland, Marietta Woods takes prominent position in Dalkey on Dublin’s south side.  One of Ireland’s best kept secrets, Dalkey is vibrant, exciting and above all, picturesque from end to end.  The town is culturally rich and steeped in history with a strong enduring sense of community.

* Broadband and TV package included * 

** Please note there are multiple property types available in this development.
The rent advertised on the individual property ads represent the starting rent for these property types.
Rents will vary throughout the development depending on the specific property type. Not all the available properties and rents listed here; please use those available at viewings.

Building completion and statuary compliance due from mid-Feb 2023 Move-in post-completion",19/05/2023,"43,734"
26115507,https://www.daft.ie/for-rent/apartment-2-bedroom-apartments-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523582,"2 Bedroom Apartments, Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",Apartment,"€2,708 per month",2 Bed,2 Bath,Immediately,Yes,Minimum 1 Year,"First phase is fully complete, next phase now launching.

Griffith Wood recently launched an unrivalled and well designed amenity space with concierge, comprising of private dining/ entertaining spaces, lounge areas, meeting rooms, gym, yoga studio, screening room and an expansive co-working space available for the enjoyment of our residents

Life at Griffith Wood is the best of both worlds, where city living meets suburban serenity.

Griffith Wood apartments are meticulously designed and furnished for modern living. Homes are spacious and bright, with high ceilings and large windows that increase natural light. Each room is furnished to the highest specification, including home office furniture as standard. From the large double bed, en-suite and fitted wardrobe in your bedroom to the bespoke sofa and armchair in your living room, to the essential (and some non-essential) home appliances that populate the fitted kitchen, every aspect of the apartment is geared towards your comfort, enjoyment and well-being. 

But the Griffith Wood experience doesn’t start and end at your front door. As a resident, you’ll enjoy a range of benefits, including:

●        Concierge service 
●        Residents gym 
●        Residents lounge
●        Residents events
●        Co-working space
●        Meeting rooms
●        Onsite maintenance and management team 
●        Car parking and secure bicycle storage

Griffith Wood is an accessible, pet-friendly development, with an on-site playground and parkland setting.  

Your apartment is located on a main bus and bicycle route, and within walking distance of a DART station, as well as the area’s wonderful array of local shops, cafés, restaurants and schools. Dublin City Centre, Dublin City University, the International Financial Services Centre (IFSC) and East Point Business Park are all within easy reach by car and public transport, and Dublin City Airport is less than 15 minutes away by taxi. 

Please note that all images, floorplans and included are for illustrative and indicative purposes only. Individual features and layout may vary. Prospective tenants must satisfy themselves by inspection or otherwise as to the correctness of the property"".",23/05/2023,"150,310"
24119867,https://www.daft.ie/for-rent/apartment-2-bedroom-2-bathroom-apartment-falcons-view-falcons-view-new-navan-road-blanchardstown-dublin-15/3149232,"2 bedroom / 2 bathroom apartment - Falcon's View, Falcon's View, New Navan Road, Blanchardstown, Dublin 15",Apartment,"€1,975 per month",2 Bed,2 Bath,Immediately,Yes,Minimum 1 Year,"Enquiries via daft.ie only. Interested parties need to click on the ad for the relevant property within this development page to be able to send an email query. NO PHONE CALLS PLEASE. 


*Large, stylish 2 bedroom/ 2 bathroom apartment to let*

*2nd floor apartment.

Please refer to video of apartment in media section of this ad.

Large, stylish 2 bed/ 2 bath apartment available in this modern development offering a highly desirable type of urban experience offering panoramic views of cosmopolitan Blanchardstown. The award winning Blanchardstown Shopping Centre is on your doorstep while Millennium Park offers an expansive green space with a wide range of sporting opportunities. The property is located next to the Crowne Plaza Hotel in Blanchardstown Shopping Centre and is very close to eBay, Amazon, Paypal, National Aquatic Centre and James Connolly hospital, There is a Dublin Bus stop situated directly outside the apartment complex making it easily accessible to the city centre by various different bus routes. The apartment is fitted out to the highest standard with all integrated appliances and top quality furniture. The living area is furnished with a kitchen table/chairs, coffee table, tv stand, as well as a 2 sofas. Both bedrooms boast large built in wardrobes, double beds and bedside lockers. - All integrated appliances: Washing Machine, Dryer, Dishwasher, Large Fridge Freezer, Oven & Microwave. 

- Gas Central Heating 

- Cable Television & Internet Connections (tenants must arrange their own internet / tv service at their own cost)

- Secure allocated underground parking space included in the rental price 

- Refuse Costs included in the rental price. 

*No pets allowed.

*Subletting not allowed.

***** Viewing by appointment only - Enquiries via daft.ie only. NO PHONE CALLS PLEASE *****",21/06/2023,"3,927"
215473336,https://www.daft.ie/for-rent/apartment-2-bed-duplex-st-brigids-road-killester-dublin-5/4647129,"2 Bed Duplex, St. Brigid's Road, Killester, Dublin 5",Apartment,"€2,650 per month",2 Bed,2 Bath,Immediately,Yes,Minimum 1 Year,"2 Bedroom Duplexes now available for rent in Occu Brookwood.

Set in the established neighborhood of Killester, right next to Clontarf, Occu Brookwood is a collection of excellently finished apartments which sit within the grounds of our stunning refurbished and redeveloped period building. Enjoy spacious, bespoke apartments with crafted interiors, landscaped surrounds and easy access to Dublin city centre, just a 5 minute walk to the nearest Dart station (Killiester)—a speedy 2 stops to the heart of the city (10-15 mins). 

This stunning high-end development, set across three buildings, is full of character inside and out. Each duplex apartment across the beautiful period building have been finished to the highest standard. Enjoy bright open-plan living spaces, excellent finishes and considered design that will help you feel at home right away. 

The location of Occu Brookwood is superb, nestled beside Killester Village offering a great selection of trendy bars and restaurants, convenience stores, as well as plenty of other activities and amenities close by for you to explore! Speaking of exploring, the Dart station at Killester is just a few minutes walk away which makes your morning commute easy peasy, and on days off, allows you to check out the whole Dublin coast line, from Malahide to Greystones. 


Kitchen and living Room 
Purpose-designed kitchens with sleek solid Quartz worktops and great storage; High-quality A-rated kitchen appliances including dishwasher, fridge/freezer and combi oven. Bespoke furniture package fitted out to a beautiful standard where you can relax and enjoy your surroundings; Wired for TV, Cable and telephone data. 

Bedrooms 
Spacious bedrooms fitted with a designer furniture package; Natural light and night blinds throughout; Generous contemporary Grey Shaker wardrobes; Wired for TV, Cable and telephone data. 

Bathrooms 
Feature sink unit with feature mirrors. Main bathroom features a shower/bath combined system and en-suites are fitted as shower rooms. 

Storage and Utility Rooms 
All apartments have excellent storage space and most have a separate utility room too with a washer/dryer. 

Heating 
The heating and hot water is provided by the latest Dimplex air source heat pump and electric radiator systems. This means there is just one energy bill, which is controlled by the handy Pinergy control system. Each apartment is also fitted with a Vent-Axia heat recovery unit. 

** Please note, photos may not be specific to each available apartment but all apartments are finished to similar standard **

Occu PSRA License No: 004136",17/05/2023,"9,365"
25286456,https://www.daft.ie/for-rent/house-11-marlborough-road-glenageary-co-dublin/5286456,"11 Marlborough Road, Glenageary, Co. Dublin",House,"€8,500 per month",5 Bed,3 Bath,3,"Jul 17th, 2023",No,"Beautiful, recently renovated, 5 Bed detached ( c.3.5k sq ft ) home on one of the finest roads in Glenageary, quiet yet close to all amenities. The accommodation comprises large Entrance Hall, downstairs Bathroom, 4 Reception Rooms, large Kitchen fully fitted with all modern appliances and utility room off & door to rear garden.

Upstairs there are 5 bedrooms, 4 doubles & 1 single, 1 large Bathroom & 2 Ensuites.

Outside there are large private gardens front & rear.",21/06/2023,"1,821"
